keywords,answer_en,answer_ta,answer_hi,answer_te,answer_kn
"guava care,guava pests,guava planting",Guava grows in a wide range of soils; prune to maintain tree shape and harvest fruits at full color for best flavor.,கோவா பல்வேறு மண்ண்களில் வளரும்; மரத்தை வடிவமைக்கக் கிழித்தல் செய்யவும்.,अमरूद विभिन्न मिट्टियों में उगता है; आकार बनाए रखने के लिए छंटाई करें।,జామ విస్తృత శ్రేణి నేలల్లో పెరుగుతుంది; చెట్టు ఆకృతిని నిర్వహించడానికి కత్తిరించండి మరియు ఉత్తమ రుచి కోసం పూర్తిగా రంగు మారినప్పుడు పండ్లను కోయండి.,ಪೇರಲವು ವಿವಿಧ ರೀತಿಯ ಮಣ್ಣುಗಳಲ್ಲಿ ಬೆಳೆಯುತ್ತದೆ; ಮರದ ಆಕಾರವನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಲು ಕತ್ತರಿಸು ಮತ್ತು ಉತ್ತಮ ರುಚಿಗಾಗಿ ಹಣ್ಣುಗಳನ್ನು ಪೂರ್ಣ ಬಣ್ಣದಲ್ಲಿ ಕೊಯ್ಲು ಮಾಡಿ.
"papaya care,papaya pests,papaya planting",Papaya needs well-drained soil and regular watering; protect from strong winds and use staking for tall varieties.,பப்பாளி நல்ல வடிகால் பட்ஊர்மணிக்கு மற்றும் முறையான நீர் தேவை.,पपाया को अच्छी जलनिकासी और नियमित पानी चाहिए; तेज हवा से बचाएँ।,బొప్పాయికి మంచి నీటి పారుదల గల మట్టి మరియు క్రమం తప్పకుండా నీరు పెట్టడం అవసరం; బలమైన గాలుల నుండి రక్షించండి మరియు పొడవైన రకాలకు ఆధారాన్ని ఉపయోగించండి.,ಪಪ್ಪಾಯಿಗೆ ಚೆನ್ನಾಗಿ ಬಸಿದು ಹೋಗುವ ಮಣ್ಣು ಮತ್ತು ನಿಯಮಿತ ನೀರುಣಿಸುವಿಕೆ ಅಗತ್ಯವಿದೆ; ಬಲವಾದ ಗಾಳಿಗಳಿಂದ ರಕ್ಷಿಸಿ ಮತ್ತು ಎತ್ತರದ ಪ್ರಭೇದಗಳಿಗೆ ಆಸರೆ ನೀಡಿ.
"pomegranate care,pomegranate pests,pomegranate planting",Pomegranate thrives in semi-arid climates; light pruning and moderate irrigation during fruiting give good yields.,மாதுளை அரை வறண்ட பகுதிகளில் சிறந்தது; சிறிய வெட்டுதல் மற்றும் மிதமான பாசனம் பயனாகும்.,अनार अर्ध-शुष्क जलवायु में अच्छा होता है; हल्की छंटाई और मध्यम सिंचाई करें।,దానిమ్మ సెమీ-అరిడ్ వాతావరణంలో బాగా పెరుగుతుంది; పండ్ల దశలో తేలికపాటి కత్తిరింపు మరియు మితమైన నీటిపారుదల మంచి దిగుబడిని ఇస్తాయి.,ದಾಳಿಂಬೆ ಅರೆ-ಶುಷ್ಕ ಹವಾಮಾನದಲ್ಲಿ ಸಮೃದ್ಧಿಯಾಗುತ್ತದೆ; ಹಣ್ಣು ಕಟ್ಟುವ ಸಮಯದಲ್ಲಿ ಲಘು ಕತ್ತರಿಸುವಿಕೆ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ ಉತ್ತಮ ಇಳುವರಿಯನ್ನು ನೀಡುತ್ತದೆ.
"grapes care,grapes pests,grapes planting","Grapes require trellis systems, regular pruning and good sunlight; monitor for fungal diseases in humid areas.","திராட்சை மண்டபம் தேவை, வழக்கமான வெட்டுதல் மற்றும் நல்ல சூரிய ஒளி தேவை.",अंगूरों को ट्रीलिसिंग और नियमित छंटाई की जरूरत होती है; आद्रता में फफूंदी का ध्यान रखें।,"ద్రాక్షకు పందిరి వ్యవస్థలు, క్రమం తప్పకుండా కత్తిరింపు మరియు మంచి సూర్యకాంతి అవసరం; తేమ ఉన్న ప్రాంతాలలో శిలీంధ్ర వ్యాధుల కోసం పర్యవేక్షించండి.","ದ್ರಾಕ್ಷಿಗೆ ಪಂದಾಳ ವ್ಯವಸ್ಥೆಗಳು, ನಿಯಮಿತ ಕತ್ತರಿಸುವಿಕೆ ಮತ್ತು ಉತ್ತಮ ಸೂರ್ಯನ ಬೆಳಕು ಅಗತ್ಯವಿದೆ; ಆರ್ದ್ರ ಪ್ರದೇಶಗಳಲ್ಲಿ ಶಿಲೀಂಧ್ರ ರೋಗಗಳಿಗಾಗಿ ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡಿ."
"apple care,apple pests,apple planting",Apple prefers temperate climates and chilling hours; select suitable cultivars and manage pests and blossom thinning for quality fruit.,ஆப்பிள் குளிர் பருவத்தில் சிறந்தது; சரியான வகைகளை தேர்ந்தெடுத்து பூச்சிகளை கட்டுப்படுத்து.,सेब समशीतोष्ण जलवायु में अच्छा होता है; उपयुक्त किस्म चुनें और फूलों की छंटाई करें।,యాపిల్‌కు సమశీతోష్ణ వాతావరణం మరియు చలి కాలం కావాలి; నాణ్యమైన పండ్ల కోసం తగిన రకాలను ఎంచుకోండి మరియు కీటకాలు మరియు పూల పల్చబరచడాన్ని నిర్వహించండి.,ಸೇಬು ಸಮಶೀತೋಷ್ಣ ಹವಾಮಾನ ಮತ್ತು ಶೀತಲೀಕರಣದ ಅವಧಿಯನ್ನು ಆದ್ಯತೆ ನೀಡುತ್ತದೆ; ಸೂಕ್ತವಾದ ತಳಿಗಳನ್ನು ಆಯ್ಕೆಮಾಡಿ ಮತ್ತು ಗುಣಮಟ್ಟದ ಹಣ್ಣುಗಾಗಿ ಕೀಟಗಳು ಮತ್ತು ಹೂವು ತೆಳುವಾಗುವುದನ್ನು ನಿರ್ವಹಿಸಿ.
"teak care,teak planting,teak pests",Teak requires well-drained soils and protection in early years; manage spacing for timber quality and control weeds regularly.,தீக் மரத்திற்கு நல்ல வடிகால் மண் மற்றும் ஆரம்ப ஆண்டு பாதுகாப்பு அவசியம்.,टीक को अच्छी जलनिकासी और शुरुआती वर्षों में सुरक्षा चाहिए; अंतराल बनाए रखें.,టేకుకు మంచి నీటి పారుదల గల నేలలు మరియు ప్రారంభ సంవత్సరాల్లో రక్షణ అవసరం; కలప నాణ్యత కోసం దూరాన్ని నిర్వహించండి మరియు కలుపు మొక్కలను క్రమం తప్పకుండా నియంత్రించండి.,ತೇಗಿಗೆ ಚೆನ್ನಾಗಿ ಬಸಿದು ಹೋಗುವ ಮಣ್ಣುಗಳು ಮತ್ತು ಆರಂಭಿಕ ವರ್ಷಗಳಲ್ಲಿ ರಕ್ಷಣೆ ಅಗತ್ಯವಿದೆ; ಮರದ ಗುಣಮಟ್ಟಕ್ಕಾಗಿ ಅಂತರವನ್ನು ನಿರ್ವಹಿಸಿ ಮತ್ತು ಕಳೆಗಳನ್ನು ನಿಯಮಿತವಾಗಿ ನಿಯಂತ್ರಿಸಿ.
"eucalyptus care,eucalyptus planting,eucalyptus pests",Eucalyptus grows fast in a range of soils; manage harvest cycles and watch for excessive water uptake in shallow soils.,ஈucalyptus வேகமாக வளர்ந்து பல்வேறு மண் வகைகளில் வளரும்; அறுவடை காலங்களை சீராக்கவும்.,यूकेलिप्टस तेजी से बढ़ता है; जमीनी पानी पर ध्यान दें।,యూకలిప్టస్ వివిధ రకాల నేలల్లో వేగంగా పెరుగుతుంది; కోత చక్రాలను నిర్వహించండి మరియు లోతు లేని నేలల్లో అధిక నీటిని గ్రహించడాన్ని గమనించండి.,ಯೂಕಲಿಪ್ಟಸ್ ವಿವಿಧ ಮಣ್ಣುಗಳಲ್ಲಿ ವೇಗವಾಗಿ ಬೆಳೆಯುತ್ತದೆ; ಕೊಯ್ಲು ಚಕ್ರಗಳನ್ನು ನಿರ್ವಹಿಸಿ ಮತ್ತು ಆಳವಿಲ್ಲದ ಮಣ್ಣುಗಳಲ್ಲಿ ಅತಿಯಾದ ನೀರಿನ ಹೀರಿಕೊಳ್ಳುವಿಕೆಯನ್ನು ಗಮನಿಸಿ.
"neem care,neem planting,neem pests",Neem is drought tolerant and useful for integrated pest management; use leaves and cake as organic inputs.,நீம் வறட்சிக்குத் தகுதியானது மற்றும் பூச்சி மேலாண்மையில் பயனுள்ளது.,नीम सूखे सहनशील है और कीट नियंत्रण में उपयोगी है।,వేప కరువును తట్టుకుంటుంది మరియు సమగ్ర కీటక నిర్వహణకు ఉపయోగపడుతుంది; ఆకులు మరియు కేకును సేంద్రీయ ఇన్‌పుట్‌లుగా ఉపయోగించండి.,ಬೇವು ಬರಗಾಲ ಸಹಿಷ್ಣು ಮತ್ತು ಸಮಗ್ರ ಕೀಟ ನಿರ್ವಹಣೆಗೆ ಉಪಯುಕ್ತವಾಗಿದೆ; ಸಾವಯವ ಒಳಹರಿವುಗಳಾಗಿ ಎಲೆಗಳು ಮತ್ತು ಹಿಂಡಿಯನ್ನು ಬಳಸಿ.
"moringa care,moringa planting,moringa pests",Moringa grows quickly in dry areas and is nutrient-rich; prune regularly and harvest leaves for nutrition.,முருங்கை உலர் பகுதிகளில் விரைவாக வளரும் மற்றும் சத்தானது.,सहजन (मोरिंगा) सूखे इलाकों में उगता है और पौष्टिक होता है।,మునగ పొడి ప్రాంతాలలో త్వరగా పెరుగుతుంది మరియు పోషకాలు సమృద్ధిగా ఉంటుంది; క్రమం తప్పకుండా కత్తిరించండి మరియు పోషణ కోసం ఆకులను కోయండి.,ನುಗ್ಗೆಕಾಯಿ ಒಣ ಪ್ರದೇಶಗಳಲ್ಲಿ ವೇಗವಾಗಿ ಬೆಳೆಯುತ್ತದೆ ಮತ್ತು ಪೋಷಕಾಂಶ ಭರಿತವಾಗಿದೆ; ನಿಯಮಿತವಾಗಿ ಕತ್ತರಿಸಿ ಮತ್ತು ಪೋಷಣೆಗಾಗಿ ಎಲೆಗಳನ್ನು ಕೊಯ್ಲು ಮಾಡಿ.
"soil testing,soil testing benefits",Soil testing every 1-2 years helps determine nutrient needs and pH; follow soil-test recommendations for fertilizer application.,ஒவ்வொரு 1-2 ஆண்டிலும் மண் சோதனை மூலம் உர தேவைகள் மற்றும் pH அடையாளம் காணலாம்.,1-2 साल में मिट्टी परीक्षण करें और रिपोर्ट के अनुसार उर्वरक दें.,ప్రతి 1-2 సంవత్సరాలకు మట్టి పరీక్ష పోషకాల అవసరాలు మరియు pH ను నిర్ణయించడానికి సహాయపడుతుంది; ఎరువుల వాడకానికి మట్టి-పరీక్ష సిఫార్సులను పాటించండి.,ಪ್ರತಿ 1-2 ವರ್ಷಗಳಿಗೊಮ್ಮೆ ಮಣ್ಣು ಪರೀಕ್ಷೆ ಪೋಷಕಾಂಶಗಳ ಅಗತ್ಯತೆಗಳು ಮತ್ತು pH ಅನ್ನು ನಿರ್ಧರಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ; ಗೊಬ್ಬರ ಅನ್ವಯಕ್ಕಾಗಿ ಮಣ್ಣು-ಪರೀಕ್ಷಾ ಶಿಫಾರಸುಗಳನ್ನು ಅನುಸರಿಸಿ.
"compost,compost benefits","Compost improves soil structure, water holding and provides slow-release nutrients; apply compost before planting or as a top dressing.",கம்போஸ்ட் மண் அமைப்பை மேம்படுத்த உதவும் மற்றும் மெதுவாக ஊட்டச்சத்துகளை வழங்கும்.,खाद मिट्टी की बनावट और पानी धारण क्षमता बढ़ाती है; बोने से पहले डालें.,"కంపోస్ట్ మట్టి నిర్మాణం, నీటిని పట్టుకునే సామర్థ్యాన్ని మెరుగుపరుస్తుంది మరియు నెమ్మదిగా విడుదల చేసే పోషకాలను అందిస్తుంది; నాటడానికి ముందు లేదా పై పూతగా కంపోస్ట్‌ను వాడండి.","ಮಿಶ್ರಗೊಬ್ಬರ ಮಣ್ಣಿನ ರಚನೆ, ನೀರು ಹಿಡಿದಿಟ್ಟುಕೊಳ್ಳುವಿಕೆಯನ್ನು ಸುಧಾರಿಸುತ್ತದೆ ಮತ್ತು ನಿಧಾನವಾಗಿ ಬಿಡುಗಡೆಯಾಗುವ ಪೋಷಕಾಂಶಗಳನ್ನು ಒದಗಿಸುತ್ತದೆ; ನಾಟಿ ಮಾಡುವ ಮೊದಲು ಅಥವಾ ಮೇಲಿನ ಡ್ರೆಸ್ಸಿಂಗ್ ಆಗಿ ಮಿಶ್ರಗೊಬ್ಬರವನ್ನು ಅನ್ವಯಿಸಿ."
"drip irrigation,drip irrigation benefits",Drip irrigation saves water and improves yield by supplying moisture at root zone; ideal for vegetables and orchards.,டிரிப் பாசனம் நீரை மிச்சப்படுத்தும் மற்றும் வேர்வளத்தில் நீர் அளிக்கும்.,ड्रिप सिंचाई पानी बचाती है और जड़ों तक सीधे पानी देती है।,డ్రిప్ ఇరిగేషన్ నీటిని ఆదా చేస్తుంది మరియు వేరు ప్రాంతంలో తేమను అందించడం ద్వారా దిగుబడిని మెరుగుపరుస్తుంది; కూరగాయలు మరియు తోటలకు ఆదర్శవంతమైనది.,ಹನಿ ನೀರಾವರಿ ನೀರನ್ನು ಉಳಿಸುತ್ತದೆ ಮತ್ತು ಬೇರಿನ ವಲಯದಲ್ಲಿ ತೇವಾಂಶವನ್ನು ಪೂರೈಸುವ ಮೂಲಕ ಇಳುವರಿಯನ್ನು ಸುಧಾರಿಸುತ್ತದೆ; ತರಕಾರಿಗಳು ಮತ್ತು ತೋಟಗಳಿಗೆ ಸೂಕ್ತವಾಗಿದೆ.
"green manure,green manure benefits","Green manures (sesbania, sunn hemp) add organic matter and nitrogen; incorporate before sowing main crop.",பசுமை உரங்கள் நுண்ணுயிர் மற்றும் நைட்ரஜன் கொடுக்கும்; முதலில் சேர்க்கவும்.,हरी खादें जैसे सैसबानिया और सन हेम्प जैविक पदार्थ जोड़ती हैं; मुख्य फसल से पहले मिलाएँ।,"పచ్చి ఎరువులు (సెస్‌బానియా, జనుము) సేంద్రీయ పదార్థం మరియు నైట్రోజన్‌ను జోడిస్తాయి; ప్రధాన పంటను విత్తే ముందు వాటిని కలిపి దున్నండి.","ಹಸಿರು ಗೊಬ್ಬರಗಳು (ಸೆಸ್ಬೇನಿಯಾ, ಸನ್ ಹೆಂಪ್) ಸಾವಯವ ವಸ್ತು ಮತ್ತು ಸಾರಜನಕವನ್ನು ಸೇರಿಸುತ್ತವೆ; ಮುಖ್ಯ ಬೆಳೆ ಬಿತ್ತುವ ಮೊದಲು ಅಳವಡಿಸಿ."
"pest scouting,pest scouting benefits",Regular pest scouting helps early detection; maintain records and act using IPM thresholds to reduce pesticide use.,பூச்சி கண்காணிப்பு மூலம் ஆரம்ப கட்டத்தில் கண்டறிய முடியும்; IPM அடிப்படையில் நடவடிக்கை எடுக்கவும்.,नियमित कीट निरीक्षण से शुरुआती पहचान होती है; IPM पर काम करें।,క్రమం తప్పకుండా కీటకాల పర్యవేక్షణ ప్రారంభ గుర్తింపుకు సహాయపడుతుంది; పురుగుమందుల వాడకాన్ని తగ్గించడానికి IPM పరిమితులను ఉపయోగించి రికార్డులను నిర్వహించండి మరియు చర్య తీసుకోండి.,ನಿಯಮಿತ ಕೀಟಗಳ ಸ್ಕೌಟಿಂಗ್ ಆರಂಭಿಕ ಪತ್ತೆಗೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ; ದಾಖಲೆಗಳನ್ನು ನಿರ್ವಹಿಸಿ ಮತ್ತು ಕೀಟನಾಶಕ ಬಳಕೆಯನ್ನು ಕಡಿಮೆ ಮಾಡಲು IPM ಮಿತಿಗಳನ್ನು ಬಳಸಿಕೊಂಡು ಕಾರ್ಯನಿರ್ವಹಿಸಿ.
fertilizer for paddy,Apply basal dose at transplanting and split nitrogen during tillering and panicle initiation stages; follow soil test rates.,நெலுக்கு முதலில் விதைப்ப સમયે அடிப்படை உரம் மற்றும் நடுவணங்களில் நைட்ரஜன் பிரித்து கொடு.,धान में बेसल और टीलरिंग के समय विभाजित नाइट्रोजन दें।,నాటేటప్పుడు ప్రాథమిక మోతాదును వేయండి మరియు దుబ్బు వేసే మరియు వెన్ను ప్రారంభించే దశలలో నైట్రోజన్‌ను విడదీసి వేయండి; మట్టి పరీక్ష రేట్లను అనుసరించండి.,ಕಸಿ ಮಾಡುವಾಗ ಬಾಸಲ್ ಡೋಸ್ ಅನ್ನು ಅನ್ವಯಿಸಿ ಮತ್ತು ತೆನೆ ಮತ್ತು ಪ್ಯಾನಿಕಲ್ ಆರಂಭಿಕ ಹಂತಗಳಲ್ಲಿ ಸಾರಜನಕವನ್ನು ವಿಭಜಿಸಿ; ಮಣ್ಣು ಪರೀಕ್ಷಾ ದರಗಳನ್ನು ಅನುಸರಿಸಿ.
fertilizer for maize,Apply N in split doses and base P and K at planting; use soil test to adjust rates.,"மக்காச்சோளுக்கு நைட்ரஜன் பிரிக்கப்பட்ட அளவில் கொடுத்து, P மற்றும் K ரோபத்தோடு சேர்க்கவும்.","मक्का को विभाजित नाइट्रोजन और बेसल P,K दें।",మొక్కజొన్నకు నైట్రోజన్‌ను విడదీసి వేయండి మరియు నాటేటప్పుడు P మరియు K ని ప్రాథమికంగా వేయండి; రేట్లను సర్దుబాటు చేయడానికి మట్టి పరీక్షను ఉపయోగించండి.,ಮೆಕ್ಕೆಜೋಳಕ್ಕೆ N ಅನ್ನು ವಿಭಜಿತ ಪ್ರಮಾಣದಲ್ಲಿ ಮತ್ತು ನಾಟಿ ಮಾಡುವಾಗ P ಮತ್ತು K ಅನ್ನು ಮೂಲ ಪ್ರಮಾಣದಲ್ಲಿ ಅನ್ವಯಿಸಿ; ದರಗಳನ್ನು ಸರಿಹೊಂದಿಸಲು ಮಣ್ಣಿನ ಪರೀಕ್ಷೆಯನ್ನು ಬಳಸಿ.
"post harvest storage,postharvest handling,storage of grains","Post-harvest handling: dry grains to safe moisture level, clean storage, use airtight containers or silos and monitor for pests. Good handling preserves quality.",அறுவடைப்பின் பிந்தைய சிக்கல்கள்: தானியங்களைப் பாதுகாப்பு ஈரப்பதம் குறைக்கவும் மற்றும் பூச்சிமருந்து கண்காணிக்கவும்.,फसल के बाद की हेंडलिंग: अनाज को सुरक्षित नमी पर सुखाएं और कीट निगरानी रखें।,"కోత తర్వాత నిర్వహణ: ధాన్యాలను సురక్షితమైన తేమ స్థాయికి ఆరబెట్టండి, నిల్వను శుభ్రం చేయండి, గాలి చొరబడని కంటైనర్లు లేదా సైలోలను ఉపయోగించండి మరియు కీటకాల కోసం పర్యవేక్షించండి. మంచి నిర్వహణ నాణ్యతను కాపాడుతుంది.","ಕೊಯ್ಲಿನ ನಂತರದ ನಿರ್ವಹಣೆ: ಧಾನ್ಯಗಳನ್ನು ಸುರಕ್ಷಿತ ತೇವಾಂಶ ಮಟ್ಟಕ್ಕೆ ಒಣಗಿಸಿ, ಸಂಗ್ರಹಣೆಯನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿ, ಗಾಳಿಯಾಡದ ಪಾತ್ರೆಗಳು ಅಥವಾ ಸೈಲೋಗಳನ್ನು ಬಳಸಿ ಮತ್ತು ಕೀಟಗಳಿಗಾಗಿ ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡಿ. ಉತ್ತಮ ನಿರ್ವಹಣೆ ಗುಣಮಟ್ಟವನ್ನು ಕಾಪಾಡುತ್ತದೆ."
"certified seeds,seed selection,quality seeds","Use certified, disease-free seeds or seedlings to ensure healthy stands and higher yield; source from trusted suppliers and follow spacing recommendations.",சான்றளிக்கப்பட்ட நோய் இல்லாத விதைகள் பயன்படுத்தவும்; நம்பகமான சப்ளையர்களிடமிருந்து வாங்கவும்.,प्रमाणित और रोगमुक्त बीज लें; विश्वसनीय आपूर्तिकर्ता से खरीदें।,"ఆరోగ్యకరమైన పెరుగుదల మరియు అధిక దిగుబడి కోసం ధృవీకరించబడిన, వ్యాధి లేని విత్తనాలను లేదా మొలకలను ఉపయోగించండి; విశ్వసనీయ సరఫరాదారుల నుండి తీసుకోండి మరియు దూరం సిఫార్సులను పాటించండి.","ಆರೋಗ್ಯಕರ ಸಸ್ಯಗಳು ಮತ್ತು ಹೆಚ್ಚಿನ ಇಳುವರಿಯನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲು ಪ್ರಮಾಣೀಕೃತ, ರೋಗ-ಮುಕ್ತ ಬೀಜಗಳು ಅಥವಾ ಸಸಿಗಳನ್ನು ಬಳಸಿ; ವಿಶ್ವಾಸಾರ್ಹ ಪೂರೈಕೆದಾರರಿಂದ ಮೂಲ ಮತ್ತು ಅಂತರದ ಶಿಫಾರಸುಗಳನ್ನು ಅನುಸರಿಸಿ."
"hello,hi,good morning,வணக்கம்,नमस्ते","Hello! 👋 I’m your AgriBot — ask me about crops, soil, pests, irrigation or fertilizers.","வணக்கம்! 👋 நான் உங்கள் அக்க்ரோபாட் — பயிர்கள், மண், பூச்சிகள் பற்றிக் கேளுங்கள்.","नमस्ते! 👋 मैं आपका एग्रीबॉट हूँ — फसल, मिट्टी, कीट या सिंचाई के बारे में पूछें।","నమస్కారం! 👋 నేను మీ ఆగ్రిబాట్ — పంటలు, మట్టి, కీటకాలు, నీటిపారుదల లేదా ఎరువుల గురించి నన్ను అడగండి.","ನಮಸ್ಕಾರ! 👋 ನಾನು ನಿಮ್ಮ ಅಗ್ರಿಬಾಟ್ — ಬೆಳೆಗಳು, ಮಣ್ಣು, ಕೀಟಗಳು, ನೀರಾವರಿ ಅಥವಾ ಗೊಬ್ಬರಗಳ ಬಗ್ಗೆ ನನ್ನನ್ನು ಕೇಳಿ."
"thank you,thanks,நன்றி,धन्यवाद",You're welcome! 😊 Glad I could help. Ask anytime.,நன்றி! 😊 உதவியதில் மகிழ்ச்சி. எப்போது வேண்டுமானாலும் கேளுங்கள்.,धन्यवाद! 😊 मदद कर पाकर खुशी हुई।,మీకు స్వాగతం! 😊 నేను సహాయం చేసినందుకు సంతోషంగా ఉంది. ఎప్పుడైనా అడగండి.,ಸ್ವಾಗತ! 😊 ನಾನು ಸಹಾಯ ಮಾಡಿದ್ದಕ್ಕೆ ಸಂತೋಷವಾಗಿದೆ. ಯಾವಾಗ ಬೇಕಾದರೂ ಕೇಳಿ.
